Name,Archive,Assignee,Category,Date between,Do Date,Final Delivery,Initial Delivery,Overdue by,Phase,Priority,Product,Project Archive,Project timeline,Projects,Revision 1 Delivery,Revision 1 Internal,Revision 2 Delivery,Revision 2 Internal,Status
Header — “Shop Now” button,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Home Page — Offering Tile Images,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Home Page — Why Us Section,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Post-Purchase Page,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tally Form Custom Visuals,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tally Form The PDF Vibe,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tally Form The Vibe,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tally Form The Ultimate Vibe,No,,,234,"October 22, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
All — Change CTA,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Complete newest website changes,No,,,198,"November 27, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Finalize Company Ambassador contract,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Tracking New (Internal) Bonus Structure,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Create interactive walk throughs for Framer,No,,Help Section Creation,,,No,No,Not Overdue,,Medium,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Add an FAQ page with multiple entries,No,,Framer Site,,,No,No,Not Overdue,,Low,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Add Blog Page with 3 entries,No,,Framer Site,,,No,No,Not Overdue,,Low,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Complete a checkout of all products on the website,No,,,198,"November 27, 2025",No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
"Change over Facebook, YT, IG",No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Change passwords for all socials,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Get high res profile picture and header across all socials,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Add “YEAR” to CRM + intakes,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Remove estimated timeline section from Gmail draft,No,,,,,No,No,Completed,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Done
Clean up Google Drive,No,,Org Backend,,,No,No,Not Overdue,,Medium,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,In progress
Add Project Data To Notion,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Client Google Drive Folder Is Created,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Welcome Email Draft Is In Gmail Drafts Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Perform Intake Audit (missing any info?),No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Send Welcome Email,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Notice To Devs/Graphic Designers That A New Project Is Ready,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Generate PDF EPK,No,,,,,No,No,Not Overdue,3 Production,,,,,,No,No,No,No,Not started
Send Client PDF EPK For Review,No,,,,,No,No,Not Overdue,4 Review,,,,,,No,No,No,No,Not started
Does Client Need Revisions,No,,,,,No,No,Not Overdue,5 Revision,,,,,,No,No,No,No,Not started
Send Client Final Email With Deliverables Zip File,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Send Testimonials Request + 20% Next Purchase,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Add Project Data To Notion,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Client Google Drive Folder Is Created,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Welcome Email Draft Is In Gmail Drafts Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Perform Intake Audit (missing any info?),No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Send Welcome Email,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Notice To Devs/Graphic Designers That A New Project Is Ready,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Generate PDF EPK,No,,,,,No,No,Not Overdue,3 Production,,,,,,No,No,No,No,Not started
Send Client PDF EPK For Review,No,,,,,No,No,Not Overdue,4 Review,,,,,,No,No,No,No,Not started
Does Client Need Revisions,No,,,,,No,No,Not Overdue,5 Revision,,,,,,No,No,No,No,Not started
Send Client Final Email With Deliverables Zip File,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Send Testimonials Request + 20% Next Purchase,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Add Project Data To Notion,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Client Google Drive Folder Is Created,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Welcome Email Draft Is In Gmail Drafts Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Perform Intake Audit (missing any info?),No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Send Welcome Email,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Notice To Devs/Graphic Designers That A New Project Is Ready,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Generate PDF EPK,No,,,,,No,No,Not Overdue,3 Production,,,,,,No,No,No,No,Not started
Send Client PDF EPK For Review,No,,,,,No,No,Not Overdue,4 Review,,,,,,No,No,No,No,Not started
Does Client Need Revisions,No,,,,,No,No,Not Overdue,5 Revision,,,,,,No,No,No,No,Not started
Send Client Final Email With Deliverables Zip File,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Send Testimonials Request + 20% Next Purchase,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Add Project Data To Notion,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Client Google Drive Folder Is Created,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Welcome Email Draft Is In Gmail Drafts Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Perform Intake Audit (missing any info?),No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Send Welcome Email,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Notice To Devs/Graphic Designers That A New Project Is Ready,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Generate PDF EPK,No,,,,,No,No,Not Overdue,3 Production,,,,,,No,No,No,No,Not started
Send Client PDF EPK For Review,No,,,,,No,No,Not Overdue,4 Review,,,,,,No,No,No,No,Not started
Does Client Need Revisions,No,,,,,No,No,Not Overdue,5 Revision,,,,,,No,No,No,No,Not started
Send Client Final Email With Deliverables Zip File,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Send Testimonials Request + 20% Next Purchase,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Complete the automation change - looping stops after last URL upload,No,,Automations,,,No,No,Not Overdue,,High,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Get ALL the Agreement’s checked by a corporate lawyer,No,,Legal Backend,,,No,No,Not Overdue,,Low,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Clean up the slack “To Do List” channel,No,,Slack,,,No,No,Not Overdue,,Low,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,In progress
Complete the Ambassador Promo Kit,No,,Ambassadors,,,No,No,Not Overdue,,High,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Add Ambassador Assets to the Slack channel,No,,Ambassadors,,,No,No,Not Overdue,,Medium,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Create a media bank of visuals for social media,No,,Social Media,,,No,No,Not Overdue,,Medium,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Finalize week 1 hard launch marketing plan,No,,Social Media,,,No,No,Not Overdue,,Medium,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Add Project Data To Notion,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Client Google Drive Folder Is Created,No,,,,,No,No,Completed,0 Intake,,,,,,No,No,No,No,Done
Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Completed,0 Intake,,,,,,No,No,No,No,Done
Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Completed,0 Intake,,,,,,No,No,No,No,Done
Confirm Welcome Email Draft Is In Gmail Drafts Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Perform Intake Audit (missing any info?),No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Send Welcome Email,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Notice To Devs/Graphic Designers That A New Project Is Ready,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Generate PDF EPK,No,,,,,No,No,Not Overdue,3 Production,,,,,,No,No,No,No,Not started
Send Client PDF EPK For Review,No,,,,,No,No,Not Overdue,4 Review,,,,,,No,No,No,No,Not started
Does Client Need Revisions,No,,,,,No,No,Not Overdue,5 Revision,,,,,,No,No,No,No,Not started
Send Client Final Email With Deliverables Zip File,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Send Testimonials Request + 20% Next Purchase,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Add Project Data To Notion,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Client Google Drive Folder Is Created,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Welcome Email Draft Is In Gmail Drafts Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Perform Intake Audit (missing any info?),No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Send Welcome Email,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Notice To Devs/Graphic Designers That A New Project Is Ready,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Generate PDF EPK,No,,,,,No,No,Not Overdue,3 Production,,,,,,No,No,No,No,Not started
Send Client PDF EPK For Review,No,,,,,No,No,Not Overdue,4 Review,,,,,,No,No,No,No,Not started
Does Client Need Revisions,No,,,,,No,No,Not Overdue,5 Revision,,,,,,No,No,No,No,Not started
Send Client Final Email With Deliverables Zip File,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Send Testimonials Request + 20% Next Purchase,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Add Project Data To Notion,No,,,,,No,No,Not Overdue,0 Intake,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Confirm Client Google Drive Folder Is Created,No,,,,,No,No,Not Overdue,0 Intake,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Confirm Welcome Email Draft Is In Gmail Drafts Folder,No,,,,,No,No,Not Overdue,0 Intake,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Perform Intake Audit (missing any info?),No,,,,,No,No,Not Overdue,0 Intake,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Send Welcome Email,No,,,,,No,No,Not Overdue,1 Kickoff,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Send Notice To Devs/Graphic Designers That A New Project Is Ready,No,,,,,No,No,Not Overdue,1 Kickoff,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Send Client Initial Delivery,No,,,,,No,No,Not Overdue,6 Delivery,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Does Client Need Revisions,No,,,,,No,No,Not Overdue,5 Revision,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Send Client Final Delivery Email,No,,,,,No,No,Not Overdue,6 Delivery,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Send Testimonials Request + 20% Next Purchase,No,,,,,No,No,Not Overdue,6 Delivery,,,Not Archived,,Mind Pirate - The Ultimate Vibe (Mind%20Pirate%20-%20The%20Ultimate%20Vibe%202ccec2c464288045b261f0f102af8f1d.md),No,No,No,No,Not started
Make sure all the intake zaps correctly deliver the submission row to the CRM,No,,Automations,,,No,No,Not Overdue,,Medium,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Add 8 Product Specific Tasks Buttons,No,,Notion,,,No,No,Not Overdue,,Low,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Can I create buttons inside those specific pages that will trigger the zap to send that clients version of the necessary email,No,,Automations,,,No,No,Not Overdue,,Low,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Add Project Data To Notion,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Client Google Drive Folder Is Created,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Welcome Email Draft Is In Gmail Drafts Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Perform Intake Audit (missing any info?),No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Send Welcome Email,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Notice To Devs/Graphic Designers That A New Project Is Ready,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Client Initial Delivery,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Does Client Need Revisions,No,,,,,No,No,Not Overdue,5 Revision,,,,,,No,No,No,No,Not started
Send Client Final Delivery Email,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Send Testimonials Request + 20% Next Purchase,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Build Out Each Template Page For Each Product,No,,Automations,,,No,No,Not Overdue,,Low,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
Add Project Data To Notion,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Client Google Drive Folder Is Created,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Signed Service Agreements Have Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Creative Brief Document Has Been Generated & Placed In Google Drive Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Confirm Welcome Email Draft Is In Gmail Drafts Folder,No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Perform Intake Audit (missing any info?),No,,,,,No,No,Not Overdue,0 Intake,,,,,,No,No,No,No,Not started
Send Welcome Email,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Notice To Devs/Graphic Designers That A New Project Is Ready,No,,,,,No,No,Not Overdue,1 Kickoff,,,,,,No,No,No,No,Not started
Send Client Initial Delivery,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Does Client Need Revisions,No,,,,,No,No,Not Overdue,5 Revision,,,,,,No,No,No,No,Not started
Send Client Final Delivery Email,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
Send Testimonials Request + 20% Next Purchase,No,,,,,No,No,Not Overdue,6 Delivery,,,,,,No,No,No,No,Not started
"Make sure that the Ambassador automation will always work to add the photo of signature to the page, or create an ifferror then just submit with no image and only name, phone, email data entry",No,,Automations,,,No,No,Not Overdue,,High,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
!!RELINK ALL THE INTAKE FORMS TO THE CRM!!,No,,Automations,,,No,No,Not Overdue,,High,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
MAKE SURE ALL THE FORMS HAVE THE CORRECT “REQUIRED” ITEMS,No,,Tally,,,No,No,Not Overdue,,High,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started
,No,,,120,"February 13, 2026",No,No,⭕ Overdue by 120 days,,,,,,,No,No,No,No,Not started
,No,,,120,"February 13, 2026",No,No,⭕ Overdue by 120 days,,,,,,,No,No,No,No,Not started
Complete,No,,,,,No,No,Not Overdue,,,,Not Archived,"October 23, 2025 → November 12, 2025",Amplify Main Website (Amplify%20Main%20Website%20293ec2c4642881b3ba53f6af2c47065c.md),No,No,No,No,Not started